selection_rate,average_cost,cost_variance,average_runtime,average_hospitals
0.1,5094.12048100561,178459.51605320792,0.0254,22.5
0.15,4309.889212699778,500401.35900658474,0.021400000000000002,24.0
0.2,4497.8978456740315,53783.25564172496,0.01035,21.0
