lambda,average_cost,cost_variance,average_runtime,average_hospitals
1,117.91291249012367,660.331287732118,4.091784906387329,98.0
10,923.9937766907957,391.81435945227867,3.7404218673706056,77.0
50,3236.824792634937,557.5283321417703,3.4796632051467897,40.5
100,4961.628401004669,4603.6275504973255,2.483154368400574,26.7
