alpha,average_cost,cost_variance,average_runtime,average_hospitals
0.9,916.0809984742822,125.26003633257517,2.464856195449829,76.7
0.95,915.3831924163253,132.19505121741707,3.084236764907837,76.9
0.99,1116.0641174321033,4175.403377248031,4.169710111618042,72.6
